A1,A2,A3,G1,G2,G3,M1,M2,M3
filter,filter,drag-and-drop,representative-outlier,representative-outlier,ID,PD,show-scatter,dynamic-class
filter,E,drag-and-drop,control-kmeans-clustersize,IS,C,sketch-to-query,change-axis,ID
filter,E,sketch-to-modify,representative-outlier,BR,W,ignore-xrange,PS,show-scatter
filter,representative-outlier,ignore-xrange,control-kmeans-clustersize,representative-outlier,show-scatter,C,dynamic-class,IS
IS,drag-and-drop,BR,W,control-kmeans-clustersize,upload-dataset,change-axis,dynamic-class,dynamic-class
E,W,drag-and-drop,IS,representative-outlier,BR,W,dynamic-class,PS
E,ID,ignore-xrange,BR,filter,representative-outlier,W,dynamic-class,dynamic-class
drag-and-drop,E,change-metric,drag-and-drop,C,W,W,PS,ID
ID,ID,C,IS,BR,change-metric,BR,dynamic-class,change-axis
filter,BR,brush-xrange,W,W,control-kmeans-clustersize,brush-xrange,IS,IS
E,filter,change-metric,BR,drag-and-drop,representative-outlier,change-axis,IS,drag-and-drop
IS,E,ID,drag-and-drop,W,ID,IS,C,dynamic-class
PS,representative-outlier,change-metric,min-similarity-cutoff,filter,drag-and-drop,representative-outlier,BR,IS
E,drag-and-drop,W,brush-xrange,PS,IS,W,W,change-metric
PS,change-number-of-results,BR,export,BR,BR,PS,dynamic-class,C
PD,export,filter,BR,show-scatter,export,dynamic-class,IS,drag-and-drop
reverse-y,filter,W,control-kmeans-clustersize,ID,BR,PD,sketch-to-query,IS
E,E,W,C,BR,representative-outlier,IS,C,BR
PS,representative-outlier,filter,W,sketch-to-query,IS,BR,sketch-to-modify,change-axis
BR,drag-and-drop,ID,drag-and-drop,ID,ignore-xrange,filter,BR,sketch-to-query
drag-and-drop,change-number-of-results,BR,drag-and-drop,W,IS,sketch-to-query,change-axis,sketch-to-query
C,export,change-axis,ID,ignore-xrange,BR,show-scatter,sketch-to-modify,BR
filter,filter,ID,control-kmeans-clustersize,sketch-to-query,,BR,drag-and-drop,PS
BR,E,filter,C,filter,,W,sketch-to-modify,drag-and-drop
filter,representative-outlier,W,W,IS,,filter,ID,ID
PS,drag-and-drop,BR,PS,filter,,filter,C,W
E,change-number-of-results,change-axis,W,BR,,filter,drag-and-drop,IS
E,export,PS,BR,filter,,ID,sketch-to-modify,BR
PS,ID,BR,,PS,,BR,IS,change-axis
brush-xrange,E,input-equation,,filter,,W,C,W
W,BR,BR,,W,,export,C,W
ID,PS,export,,representative-outlier,,E,BR,
W,E,W,,BR,,W,dynamic-class,
W,E,BR,,smoothing,,E,IS,
ID,dynamic-class,,,smoothing,,BR,IS,
BR,W,,,BR,,,representative-outlier,
filter,E,,,pattern-upload,,,filter,
filter,change-axis,,,PD,,,IS,
BR,ignore-xrange,,,E,,,change-axis,
smoothing,IS,,,filter,,,ID,
sketch-to-query,PD,,,drag-and-drop,,,BR,
sketch-to-query,BR,,,IS,,,,
filter,W,,,W,,,,
E,PS,,,export,,,,
PS,drag-and-drop,,,representative-outlier,,,,
W,W,,,ID,,,,
W,brush-xrange,,,export,,,,
W,PS,,,BR,,,,
IS,BR,,,brush-xrange,,,,
BR,,,,PS,,,,
dynamic-class,,,,upload-dataset,,,,
dynamic-class,,,,smoothing,,,,
W,,,,control-kmeans-clustersize,,,,
dynamic-class,,,,representative-outlier,,,,
BR,,,,ID,,,,
filter,,,,ID,,,,
E,,,,PS,,,,
ID,,,,BR,,,,
pattern-upload,,,,,,,,
export,,,,,,,,
W,,,,,,,,
dynamic-class,,,,,,,,
BR,,,,,,,,
filter,,,,,,,,
E,,,,,,,,
ID,,,,,,,,
pattern-upload,,,,,,,,
export,,,,,,,,
W,,,,,,,,
BR,,,,,,,,
